index,id,eventType,teamId,playerId,playerName,x,y,min,minAdded,isBlocked,isOnTarget,blockedX,blockedY,goalCrossedY,goalCrossedZ,expectedGoals,expectedGoalsOnTarget,shotType,situation,period,isOwnGoal,firstName,lastName,teamColor,shortName,matchId,onGoalShot_X,onGoalShot_Y,onGoalShot_ZR
0,2467228275,AttemptSaved,8650,950561,Darwin Nunez,92.5,25.53375,3,,0,1,101.0172413796,31.4075,32.24625,1.5859999922,0.165956050157547,0.1373,RightFoot,RegularPlay,FirstHalf,0,Darwin,Nunez,#d3171e,,4010125,1.4639550264550256,0.4195767175132275,1
1,2467229185,AttemptSaved,8650,570461,Diogo Jota,95.5438581755607,32.55124883651733,3,,1,1,97.6666666661,32.9325,34.1525,1.2199999940000001,0.01679062843322754,,Header,FromCorner,FirstHalf,0,Diogo,Jota,#d3171e,,4010125,0.9596560846560838,0.32275132116402117,1
2,2467235279,Goal,8650,760712,Trent Alexander-Arnold,77.07912277826887,39.545001283464885,7,,0,1,,,37.355000000000004,1.6245263078,0.039499759674072266,0.5062,RightFoot,FreeKick,FirstHalf,0,Trent,Alexander-Arnold,#d3171e,,4010125,0.11243386243386144,0.42976886449735446,1
3,2467241929,Miss,8650,860914,Luis Diaz,86.13823856975176,35.677500581741334,12,,0,0,,,28.370952380000002,3.8547586247999996,0.06595519185066223,,RightFoot,RegularPlay,FirstHalf,0,Luis,Diaz,#d3171e,,4010125,1.988976334416427,0.6772486772486772,0.6641142154867928
4,2467246283,AttemptSaved,8650,292462,Mohamed Salah,90,17.763567415343566,15,,0,1,102.3448275864,31.78875,35.9825,0.4879999976,0.06102588772773743,0.1648,LeftFoot,RegularPlay,FirstHalf,0,Mohamed,Salah,#d3171e,,4010125,0.47552910052910013,0.12910052846560846,1
7,2467257755,AttemptSaved,8650,760712,Trent Alexander-Arnold,89.30000305175781,17.553375530628216,23,,1,1,92.8,20.7763057357,35.83,0.5329473658000001,0.029804587364196777,,RightFoot,RegularPlay,FirstHalf,0,Trent,Alexander-Arnold,#d3171e,,4010125,0.5158730158730164,0.14099136661375664,1
8,2467263247,Miss,8650,209405,Virgil van Dijk,100.54310634250827,35.98249883651734,28,,0,0,,,22.808152870399997,0.6228421022,0.23095694184303284,,Header,FromCorner,FirstHalf,0,Virgil,van Dijk,#d3171e,,4010125,2,0.05565141258521284,0.3377458569821527
9,2467264531,Miss,8650,209405,Virgil van Dijk,95.5438581755607,33.46624941825866,29,,0,0,102.06034482780001,14.610700637299999,8.2646445546,0.44305262940000006,0.056215912103652954,,Header,FromCorner,FirstHalf,0,Virgil,van Dijk,#d3171e,,4010125,2,0.017215718288405932,0.14687964998267183
10,2467270453,AttemptSaved,8650,950561,Darwin Nunez,96.4122807008,44.351083867087134,34,,0,1,103.4827586208,36.51625,34.7625,0.8539999958000001,0.12351533770561218,0.0286,RightFoot,RegularPlay,FirstHalf,0,Darwin,Nunez,#d3171e,,4010125,0.7982804232804226,0.22592592481481483,1
11,2467271539,AttemptSaved,8650,860914,Luis Diaz,92.0999984741211,44.281021241874264,35,,0,1,102.629310345,35.75375,33.161249999999995,0.160526315,0.05051392316818237,0.0647,RightFoot,RegularPlay,FirstHalf,0,Luis,Diaz,#d3171e,,4010125,1.2218915343915355,0.042467279100529096,1
