,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal,cardType,isOwnGoal,match_id,event_type,cumulative_mins,index,id,match_string,team_name,Venue,xThreat,xThreat_gen,playerName,is_open_play,is_progressive,is_pass_into_box,won_possession,is_carry_into_box,progressive_carry
12,9.0,0.0,24.0,26,78.6,70.5,0.0,1.0,,Successful,"[{'Angle': '5.1'}, {'PassEndY': '53.4'}, {'PassEndX': '83.0'}, {'StandingSave': True}, {'Zone': 'Center'}, {'Length': '12.5'}]","['touches', 'passForwardZoneAccurate', 'passAccurate', 'shortPassAccurate', 'successfulFinalThirdPasses', 'passForward', 'passRight', 'finalThird', 'pos']",True,352825.0,83.0,53.4,,,,,,,,,,,1694372,Pass,0.4,11.0,2520480757.0,Real Madrid - Liverpool,Liverpool,Away,0.0377477414623857,0.0377477414623857,Cody Gakpo,True,True,,False,,
13,10.0,0.0,25.0,26,83.0,53.4,0.0,1.0,,Unsuccessful,"[{'StandingSave': True}, {'Zone': 'Center'}]","['touches', 'turnover']",True,235755.0,,,,,,,,,,,,,1694372,BallTouch,0.4166666666666667,12.0,2520480763.0,Real Madrid - Liverpool,Liverpool,Away,,,Diogo Jota,True,False,,False,,
14,8.0,0.0,26.0,52,14.6,56.3,0.0,1.0,,Successful,"[{'Zone': 'Back'}, {'PassEndY': '16.5'}, {'PassEndX': '26.4'}, {'Length': '29.8'}, {'StandingSave': True}, {'Angle': '5.1'}]","['touches', 'clearanceEffective', 'clearanceTotal', 'defensiveThird']",True,106875.0,26.4,16.5,,,,,,,,,,,1694372,Clearance,0.4333333333333333,13.0,2520480819.0,Real Madrid - Liverpool,Real Madrid,Home,,,Nacho,True,False,,False,,
15,11.0,0.0,29.0,26,71.5,88.4,0.0,1.0,,Unsuccessful,"[{'PassEndX': '81.3'}, {'StandingSave': True}, {'Angle': '5.8'}, {'Length': '11.8'}, {'PassEndY': '80.0'}, {'Zone': 'Left'}, {'Chipped': True}]","['touches', 'passInaccurate', 'shortPassInaccurate', 'passChipped', 'passForward', 'passRight', 'finalThird', 'pos']",True,115726.0,81.3,80.0,,,,,,,,,,,1694372,Pass,0.4833333333333333,14.0,2520480809.0,Real Madrid - Liverpool,Liverpool,Away,,,Andrew Robertson,True,True,,False,,
16,9.0,0.0,32.0,52,19.1,21.9,0.0,1.0,,Successful,"[{'PassEndX': '23.4'}, {'Zone': 'Back'}, {'PassEndY': '27.7'}, {'Angle': '0.7'}, {'OppositeRelatedEvent': '12'}, {'StandingSave': True}, {'Length': '6.0'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passForward', 'passLeft', 'defensiveThird', 'pos']",True,106883.0,23.4,27.7,,,,,,,,,,,1694372,Pass,0.5333333333333333,15.0,2520480825.0,Real Madrid - Liverpool,Real Madrid,Home,0.0007216723967961,0.0007216723967961,Daniel Carvajal,True,False,,False,,
17,9.5,0.0,32.5,52,23.4,27.7,0.0,1.0,"{'value': 99, 'displayName': 'Carry'}",Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,369109.0,22.4,33.4,,,,,,21.0,,,,,1694372,Carry,0.5416666666666667,,,,,,7.94816273029797e-05,7.94816273029797e-05,Eduardo Camavinga,True,False,,False,,
18,21.0,0.0,33.0,52,22.4,33.4,0.0,1.0,,Unsuccessful,"[{'PassEndY': '31.4'}, {'Zone': 'Back'}, {'PassEndX': '23.2'}, {'Angle': '5.3'}, {'StandingSave': True}, {'Offensive': True}, {'OppositeRelatedEvent': '12'}, {'Length': '1.6'}]","['touches', 'passBackZoneInaccurate', 'passInaccurate', 'shortPassInaccurate', 'passForward', 'passRight', 'defensiveThird', 'pos']",True,369109.0,23.2,31.4,,,,,,,,,,,1694372,Pass,0.55,16.0,2520481419.0,Real Madrid - Liverpool,Real Madrid,Home,,,Eduardo Camavinga,True,False,,False,,
19,12.0,0.0,33.0,26,79.1,76.1,0.0,1.0,,Successful,"[{'Defensive': True}, {'Zone': 'Center'}, {'OppositeRelatedEvent': '21'}, {'StandingSave': True}]","['touches', 'outfielderBlockedPass']",True,400828.0,,,,,,,,,,,,,1694372,BlockedPass,0.55,17.0,2520480839.0,Real Madrid - Liverpool,Liverpool,Away,,,Darwin Núñez,True,False,,False,,
20,11.0,0.0,34.0,52,27.6,33.4,0.0,1.0,,Successful,[],['ballRecovery'],False,14296.0,,,,,,,,,,,,,1694372,BallRecovery,0.5666666666666667,18.0,2520480863.0,Real Madrid - Liverpool,Real Madrid,Home,,,Karim Benzema,True,False,,True,,
21,12.0,0.0,35.0,52,18.1,32.8,0.0,1.0,,Successful,"[{'Angle': '2.0'}, {'StandingSave': True}, {'PassEndY': '49.3'}, {'PassEndX': '13.2'}, {'Zone': 'Back'}, {'Length': '12.3'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passBack', 'passLeft', 'defensiveThird', 'pos']",True,14296.0,13.2,49.3,,,,,,,,,,,1694372,Pass,0.5833333333333334,19.0,2520480905.0,Real Madrid - Liverpool,Real Madrid,Home,0.0009403277472066,0.0009403277472066,Karim Benzema,True,False,,False,,
